Pitch,Intensity,Duration,Spectral_Centroid,Spectral_Bandwidth
37.90988,0.016438622,2.332125,2819.115655055937,2502.506371588515
17.152721,0.08139189,5.572125,1901.5392739985064,2097.738445295031
27.782341,0.03565588,3.772125,1674.2946906031555,1669.1315307927134
16.647549,0.03276913,3.052125,1406.1623448942908,1362.900234209902
7.9498787,0.09198712,2.380125,1116.4489159852646,1297.4760567788423
60.781654,0.008123491,5.044125,2553.5952026796085,1968.5238368543817
35.88768,0.024050217,5.812125,2215.5156218932443,2150.9255954608097
34.475014,0.014910698,4.132125,3314.3615303880892,2928.7013258731545
47.22357,0.007772334,3.964125,2321.587909198102,1728.2715315567307
18.573074,0.025319735,6.580125,2777.6550297921754,2326.856381796955
26.833282,0.042095974,3.340125,2284.8796623111825,2140.8421899348414
28.191362,0.030981045,3.508125,2584.612499515697,2028.9188564149092
14.344915,0.050366994,2.980125,1324.130362884841,1003.1991216198858
10.418774,0.05667323,2.972125,2483.095773311217,2392.24208335163
29.265121,0.056781445,2.788125,2064.3898727268684,1684.3200786649381
39.168457,0.053092424,4.420125,3421.8319843054483,2383.3769338532175
15.303907,0.04731949,1.828125,2011.0220889546385,1627.3613512777931
12.872773,0.0594955,5.332125,2243.4135003145875,2076.639207927753
35.576683,0.054081704,3.460125,2830.723438592221,2367.667211581571
18.226954,0.046331663,2.780125,2056.082130523164,2231.351329874469
36.199284,0.05386647,3.340125,1821.9720890505664,1502.43632532443
38.097034,0.077735946,5.188125,1306.4451516935806,1313.5369386127466
53.134476,0.09783436,4.108125,2204.8076303039034,1704.4462246123298
30.206902,0.023445126,3.812125,2435.7507793320533,2311.8774076283494
66.56314,0.011612891,3.244125,3327.427567508642,2614.440950908713
12.391533,0.009448916,2.116125,2412.720683406365,2516.213461241622
15.585286,0.02263897,3.604125,1714.0468314753405,1867.439921648949
21.115314,0.09975232,3.220125,1463.8945230866896,1404.384559840417
12.116945,0.021683553,4.948125,1981.6739173309418,2372.7452866624235
15.543022,0.03597609,3.988125,1578.6250127984981,1103.516545371235
28.124943,0.038196974,6.268125,1824.154533008934,1596.2284574697958
17.321445,0.017991636,2.380125,2023.577887877761,2132.6809904126644
18.739983,0.013280095,4.780125,2079.010807752268,1670.0841880679443
25.228275,0.05367259,3.508125,2500.547218664895,2100.5242460140307
85.85042,0.011743027,3.940125,2485.7750949442843,1930.4992144928058
39.32941,0.028596302,4.732125,1986.3138054513875,1679.972490519783
53.48474,0.0067295106,6.892125,2463.9567518807894,2080.7279969906303
17.350836,0.026419958,4.252125,2246.9224523053003,2230.337613331112
66.69629,0.010735811,5.548125,2992.5800770843725,2347.595753569444
